A,B,C,D,E,F,M,N,Q,R,S,G,A4,A5,A6,A7,A8,H,Y,Z,A1,A2,A3,J,T,U,V,W,X,K,L
Middle_Adult,Intermediate,YES,Excellent,Poor,YES,NO,NO,NO,Excellent,NO,YES,NO,NO,YES,YES,Poor,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES
Middle_Adult,Junior,NO,Excellent,Good,YES,NO,NO,YES,Excellent,YES,YES,NO,NO,YES,YES,Excellent,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES
Young_Adult,Junior,YES,Poor,Good,YES,YES,YES,NO,Good,YES,YES,NO,NO,NO,YES,Good,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
Middle_Adult,Junior,YES,Poor,Good,YES,NO,YES,NO,Poor,YES,YES,YES,NO,YES,NO,Good,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES
Young_Adult,Junior,YES,Excellent,Excellent,YES,YES,NO,YES,Excellent,NO,YES,NO,NO,NO,NO,Good,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES
Adult,Intermediate,YES,Poor,Good,YES,NO,NO,YES,Excellent,YES,YES,YES,YES,NO,NO,Excellent,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,YES,NO,NO,Good,YES,YES,NO,NO,NO,NO,Poor,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES
Middle_Adult,Intermediate,YES,Poor,Poor,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,YES,Good,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
Middle_Adult,Junior,YES,Excellent,Good,YES,NO,NO,YES,Poor,NO,YES,NO,NO,YES,NO,Good,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES
Adult,Junior,YES,Poor,Excellent,YES,NO,YES,YES,Good,YES,YES,NO,NO,NO,NO,Excellent,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES
Adult,Junior,YES,Excellent,Good,YES,YES,NO,YES,Excellent,NO,YES,NO,NO,YES,YES,Poor,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES
Middle_Adult,Intermediate,YES,Excellent,Good,YES,YES,NO,NO,Excellent,YES,YES,YES,YES,NO,NO,Good,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,YES,NO,YES,Good,YES,YES,NO,NO,YES,NO,Poor,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Young_Adult,Intermediate,YES,Poor,Good,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,YES,Good,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES
Adult,Senior,YES,Excellent,Good,NO,YES,NO,NO,Poor,YES,YES,NO,NO,YES,NO,Good,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES
Adult,Senior,YES,Excellent,Excellent,NO,YES,NO,YES,Excellent,NO,YES,YES,YES,NO,NO,Excellent,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES
Young_Adult,Junior,YES,Excellent,Poor,YES,YES,NO,YES,Good,YES,YES,NO,NO,NO,YES,Good,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES
Adult,Intermediate,YES,Poor,Good,YES,YES,NO,YES,Excellent,NO,YES,NO,NO,NO,NO,Good,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,YES,NO,NO,Good,YES,YES,YES,YES,NO,NO,Good,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES
Young_Adult,Senior,YES,Excellent,Poor,YES,YES,NO,YES,Poor,NO,YES,NO,NO,NO,NO,Poor,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES
Middle_Adult,Junior,YES,Excellent,Good,YES,NO,NO,NO,Poor,YES,YES,NO,NO,NO,YES,Good,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,NO,YES,Good,NO,YES,YES,NO,NO,YES,Poor,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,NO,YES,YES,Excellent,YES,YES,NO,NO,YES,YES,Good,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES
Middle_Adult,Junior,YES,Poor,Good,YES,YES,NO,NO,Excellent,YES,YES,NO,NO,YES,YES,Excellent,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
Adult,Junior,YES,Poor,Good,YES,NO,NO,YES,Excellent,YES,YES,YES,YES,NO,NO,Good,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES
Adult,Junior,NO,Excellent,Excellent,YES,YES,NO,NO,Good,YES,YES,NO,YES,YES,NO,Poor,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES
Middle_Adult,Intermediate,NO,Poor,Good,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,NO,Good,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES
Middle_Adult,Intermediate,YES,Poor,Good,YES,NO,NO,YES,Good,YES,YES,YES,NO,NO,NO,Excellent,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
Young_Adult,Intermediate,YES,Excellent,Excellent,NO,NO,NO,NO,Poor,NO,YES,NO,NO,YES,YES,Poor,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
Adult,Junior,YES,Poor,Poor,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,NO,Excellent,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES
Adult,Junior,YES,Excellent,Good,YES,YES,NO,YES,Excellent,NO,YES,NO,NO,YES,YES,Poor,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES
Middle_Adult,Junior,YES,Poor,Excellent,YES,YES,NO,YES,Good,NO,YES,NO,NO,NO,YES,Good,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES
Middle_Adult,Junior,YES,Poor,Good,YES,YES,NO,YES,Excellent,YES,YES,NO,YES,YES,YES,Poor,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES
Adult,Intermediate,YES,Poor,Good,NO,NO,NO,NO,Good,YES,YES,NO,NO,NO,YES,Good,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES
Middle_Adult,Junior,YES,Excellent,Excellent,YES,YES,YES,YES,Excellent,YES,NO,NO,NO,NO,NO,Good,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES
Adult,Intermediate,YES,Poor,Good,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,YES,Excellent,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES
Young_Adult,Junior,YES,Excellent,Good,YES,YES,NO,NO,Excellent,YES,YES,YES,NO,NO,NO,Poor,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
Adult,Junior,YES,Poor,Poor,YES,YES,NO,YES,Excellent,YES,YES,YES,NO,NO,YES,Poor,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES
Adult,Intermediate,YES,Excellent,Good,NO,YES,NO,YES,Poor,NO,YES,YES,NO,YES,YES,Good,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES
Adult,Intermediate,YES,Poor,Excellent,YES,NO,NO,NO,Excellent,NO,YES,NO,YES,NO,NO,Good,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Good,NO,YES,NO,YES,Good,YES,YES,YES,NO,YES,NO,Poor,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES
Middle_Adult,Junior,YES,Excellent,Good,YES,NO,NO,NO,Excellent,YES,YES,NO,NO,NO,YES,Excellent,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES
Young_Adult,Junior,YES,Excellent,Excellent,YES,NO,NO,YES,Excellent,YES,YES,NO,NO,YES,NO,Good,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES
Middle_Adult,Junior,YES,Poor,Good,YES,YES,NO,NO,Excellent,NO,YES,NO,NO,NO,NO,Good,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES
Young_Adult,Junior,YES,Excellent,Poor,YES,NO,NO,NO,Good,NO,YES,NO,NO,YES,YES,Good,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES
Adult,Junior,YES,Excellent,Excellent,YES,YES,NO,YES,Poor,YES,YES,NO,YES,NO,NO,Excellent,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
Adult,Junior,YES,Excellent,Good,YES,NO,NO,YES,Good,YES,YES,YES,NO,NO,NO,Poor,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES
Adult,Intermediate,YES,Excellent,Good,NO,YES,NO,YES,Excellent,NO,YES,NO,NO,NO,NO,Good,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,YES,NO,NO,Good,YES,YES,YES,NO,NO,NO,Good,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES
Young_Adult,Intermediate,YES,Excellent,Good,NO,NO,NO,YES,Poor,NO,YES,NO,YES,NO,NO,Excellent,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES
Young_Adult,Junior,YES,Excellent,Good,YES,NO,YES,NO,Good,NO,YES,YES,NO,NO,NO,Good,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Young_Adult,Junior,YES,Excellent,Poor,YES,YES,NO,NO,Poor,NO,YES,NO,YES,NO,NO,Poor,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,NO,NO,NO,Good,NO,YES,NO,NO,NO,NO,Poor,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES
Middle_Adult,Senior,YES,Poor,Poor,YES,YES,YES,YES,Excellent,YES,NO,YES,YES,YES,NO,Poor,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Young_Adult,Junior,YES,Excellent,Poor,YES,YES,YES,YES,Excellent,YES,NO,NO,YES,YES,NO,Poor,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
Young_Adult,Junior,NO,Excellent,Poor,YES,NO,NO,YES,Excellent,YES,YES,NO,YES,YES,NO,Poor,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
Adult,Intermediate,YES,Excellent,Excellent,NO,YES,NO,YES,Excellent,YES,YES,YES,YES,YES,NO,Poor,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Middle_Adult,Senior,NO,Poor,Good,YES,YES,YES,YES,Poor,YES,YES,YES,YES,YES,NO,Poor,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES
Young_Adult,Junior,YES,Excellent,Good,YES,YES,YES,YES,Excellent,NO,YES,YES,YES,YES,YES,Excellent,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES
Young_Adult,Junior,NO,Excellent,Good,YES,YES,NO,YES,Poor,NO,YES,NO,YES,YES,NO,Poor,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
Adult,Intermediate,YES,Excellent,Good,NO,YES,YES,YES,Poor,NO,YES,YES,YES,YES,NO,Poor,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES
Middle_Adult,Senior,NO,Poor,Good,YES,YES,YES,YES,Excellent,NO,YES,YES,YES,YES,NO,Excellent,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
Young_Adult,Junior,YES,Excellent,Good,YES,YES,YES,YES,Excellent,NO,YES,YES,YES,YES,NO,Poor,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES
Young_Adult,Junior,NO,Excellent,Good,YES,YES,YES,YES,Excellent,NO,YES,YES,YES,YES,NO,Poor,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Adult,Intermediate,YES,Excellent,Good,NO,YES,NO,YES,Excellent,NO,YES,YES,YES,NO,NO,Poor,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Middle_Adult,Senior,NO,Poor,Good,YES,YES,YES,YES,Excellent,NO,YES,NO,YES,YES,NO,Poor,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
Young_Adult,Junior,YES,Excellent,Good,YES,YES,YES,YES,Excellent,NO,YES,NO,YES,YES,NO,Poor,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES
Young_Adult,Junior,NO,Excellent,Good,YES,YES,YES,YES,Excellent,NO,YES,YES,YES,NO,YES,Poor,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES
Adult,Intermediate,YES,Excellent,Good,NO,YES,YES,YES,Excellent,NO,YES,NO,YES,YES,YES,Poor,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Middle_Adult,Senior,NO,Poor,Good,YES,NO,NO,YES,Good,NO,YES,YES,YES,YES,NO,Poor,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES
